	Genes	Var_Importance	logFC	AveExpr	t	P.Value	adj.P.Val	B
457	PTAFR	49.9842833414162	-1.1435146178617	0.186124270857591	-7.95115332223273	2.04084986815256e-12	8.2858504646994e-11	17.8053270736291
204	FCGR2B	48.7433480080667	-0.989436769849822	0.103561877526491	-5.68201057499715	1.16201861418837e-07	8.32552160047902e-07	7.10366551461126
398	NLRP3	48.6475579495464	-0.934633790585356	0.200255557285895	-5.28688970696949	6.64015188975034e-07	4.21234635506037e-06	5.41473646132581
318	KCNA3	47.7674548224424	-1.18135060933948	0.188466825231877	-7.87522792123197	2.99819105679994e-12	1.07405785505363e-10	17.4278066676213
186	EOMES	47.5745889959564	-1.11609651849701	0.15734142797369	-8.16894401233486	6.7401951382734e-13	3.73161712655318e-11	18.8930541031393
551	TLR1	46.9483177619635	-1.34879104770204	0.161513258252407	-6.96442267649191	2.79419723314649e-10	4.72685031940614e-09	12.9836468541154
348	LILRB1	45.8195980331615	-1.00987503822871	0.225241752455788	-6.85220357917056	4.82649853564256e-10	6.99842287668171e-09	12.4490026502294
542	TAGAP	45.7013550927524	-1.06353901979355	0.135716256343784	-7.13400525423438	1.21645555387795e-10	2.64579082968454e-09	13.7975788428152
49	BRCA2	45.2575763735874	-1.30450063931844	0.0530112904855376	-7.48005835369523	2.18666428181874e-11	5.54866061511506e-10	15.4788912387252
511	SLA2	44.983728349047	-0.890122155952577	0.259158329461073	-6.96526624241989	2.78270826496251e-10	4.72685031940614e-09	12.9876780954011
308	IRF4	44.8885389018658	-0.897553827003714	0.165935088951206	-5.94796366904436	3.47487769122166e-08	2.85973042426215e-07	8.2767981288425
371	MEG3	43.6358707684035	0.901016522425615	0.0209825743099681	4.5074923532168	1.68530051619202e-05	7.33105724543527e-05	2.30207233980468
108	CD80	42.5381152196438	-1.29297075724054	0.200792314711834	-7.66338457145547	8.72745106800854e-12	2.53096080972248e-10	16.3795220151443
230	GBP5	42.4742875903793	-1.08637272440591	0.27319566141757	-6.71186795468972	9.51823125430672e-10	1.23331975188783e-08	11.7851209177328
327	KLRD1	42.376426629808	-1.20275111660227	0.0443416128944771	-7.64931563823342	9.36679163312868e-12	2.59289822935244e-10	16.3101817498143
503	SIGLEC10	42.2222116232297	-1.06271430947347	0.165474428982052	-6.43338831462184	3.60568175298494e-09	3.85238629397864e-08	10.4844188777022
140	CSF2RB	42.2092236150107	-0.94148701406245	0.155158802091455	-5.94025639399755	3.59988572354919e-08	2.92310720752194e-07	8.24241801465231
